,Annee,Version,Prix,Kilometrage,Vendeur,argus,comparateur
45,2013,NaN,8200.0,46300,Particulier,NaN,NaN
35,2013,intens,8500.0,29500,Particulier,10270,True
24,2013,life,9200.0,470,Professionnel,8356,False
17,2013,zen,8000.0,49000,Particulier,10376,True
16,2013,zen,9500.0,38077,Professionnel,10376,True
30,2014,intens,9490.0,37441,Professionnel,10629,True
37,2014,intens,10590.0,42836,Professionnel,10629,True
5,2014,life,7490.0,65387,Professionnel,11584,True
4,2014,life,7800.0,46800,Particulier,11584,True
15,2014,life,7950.0,42351,Professionnel,11584,True
28,2014,life,8490.0,34301,Professionnel,11584,True
27,2014,life,8690.0,24088,Professionnel,11584,True
29,2014,life,8990.0,10690,Professionnel,11584,True
3,2014,life,8990.0,38049,Professionnel,11584,True
13,2014,life,8990.0,46385,Professionnel,11584,True
21,2014,life,9490.0,55000,Professionnel,11584,True
14,2014,life,9500.0,48000,Particulier,11584,True
20,2014,zen,8600.0,38087,Professionnel,9232,True
33,2014,zen,8990.0,9094,Professionnel,9232,True
26,2014,zen,8990.0,15143,Professionnel,9232,True
7,2014,zen,9990.0,27545,Professionnel,9232,False
12,2014,zen,10100.0,35858,Professionnel,9232,False
32,2015,intens,9950.0,16370,Professionnel,13462,True
11,2015,intens,12000.0,10132,Professionnel,13462,True
22,2015,life,9290.0,48957,Professionnel,12713,True
6,2015,life,9450.0,17500,Professionnel,12713,True
38,2015,life,9490.0,6791,Professionnel,12713,True
43,2015,life,9500.0,17611,Professionnel,12713,True
36,2015,life,9500.0,20942,Professionnel,12713,True
10,2015,life,9600.0,10295,Professionnel,12713,True
9,2015,life,9950.0,17076,Professionnel,12713,True
39,2015,life,14000.0,30000,Particulier,12713,False
19,2015,zen,10990.0,6600,Professionnel,12788,True
0,2016,NaN,10000.0,15000,Particulier,NaN,NaN
2,2016,life,9200.0,21200,Particulier,13200,True
8,2016,life,9300.0,11000,Particulier,13200,True
44,2016,life,9500.0,32000,Particulier,13200,True
31,2016,life,10500.0,7701,Professionnel,13200,True
18,2016,life,10995.0,20300,Professionnel,13200,True
1,2016,life,11490.0,9746,Professionnel,13200,True
25,2016,life,11990.0,4619,Professionnel,13200,True
40,2016,life,12989.0,5145,Professionnel,13200,True
41,2016,life,12990.0,10,Professionnel,13200,True
23,2016,life,13300.0,3000,Professionnel,13200,False
42,2016,life,13500.0,3000,Professionnel,13200,False
34,2017,NaN,15000.0,9000,Particulier,NaN,NaN
