,Annee,Version,Prix,Kilometrage,Vendeur,argus,comparateur
32,2013,intens,7950.0,29500,Particulier,10270,True
20,2013,intens,8900.0,39500,Particulier,10270,True
23,2013,intens,9100.0,19900,Particulier,10270,True
15,2013,intens,9490.0,17900,Professionnel,10270,True
29,2013,intens,9800.0,32671,Professionnel,10270,True
19,2013,intens,10300.0,24000,Particulier,10270,False
35,2013,life,6790.0,70896,Professionnel,8356,True
17,2013,life,7800.0,27500,Particulier,8356,True
34,2013,life,7990.0,31451,Professionnel,8356,True
28,2013,life,8500.0,13484,Professionnel,8356,False
4,2013,life,8990.0,8751,Professionnel,8356,False
76,2013,life,9490.0,8800,Professionnel,8356,False
38,2013,zen,8000.0,55300,Particulier,10376,True
30,2013,zen,8300.0,47000,Particulier,10376,True
33,2013,zen,8480.0,31250,Professionnel,10376,True
42,2013,zen,8700.0,81404,Professionnel,10376,True
56,2013,zen,8790.0,19186,Professionnel,10376,True
79,2013,zen,9000.0,70102,Professionnel,10376,True
22,2013,zen,9200.0,23660,Professionnel,10376,True
63,2013,zen,9980.0,49299,Professionnel,10376,True
25,2014,NaN,10490.0,2700,Professionnel,NaN,NaN
82,2014,NaN,10990.0,14497,Professionnel,NaN,NaN
24,2014,intens,8990.0,49000,Particulier,10629,True
98,2014,intens,10590.0,23276,Professionnel,10629,True
10,2014,intens,10790.0,34121,Professionnel,10629,False
44,2014,intens,10900.0,18815,Professionnel,10629,False
73,2014,intens,10990.0,15888,Professionnel,10629,False
3,2014,life,7900.0,28537,Professionnel,11584,True
92,2014,life,8980.0,21264,Professionnel,11584,True
27,2014,life,8980.0,25257,Professionnel,11584,True
80,2014,life,9100.0,31425,Professionnel,11584,True
64,2014,life,9490.0,2759,Professionnel,11584,True
86,2014,life,9490.0,12658,Professionnel,11584,True
87,2014,life,9490.0,12658,Professionnel,11584,True
26,2014,life,9500.0,7039,Professionnel,11584,True
72,2014,life,9600.0,27582,Professionnel,11584,True
78,2014,life,9600.0,31872,Professionnel,11584,True
81,2014,life,9600.0,32203,Professionnel,11584,True
5,2014,life,9700.0,29000,Particulier,11584,True
68,2014,life,9980.0,33853,Professionnel,11584,True
12,2014,life,10290.0,10207,Professionnel,11584,True
93,2014,life,10300.0,21430,Professionnel,11584,True
95,2014,life,10600.0,28664,Professionnel,11584,True
16,2014,zen,10100.0,24147,Professionnel,9232,False
90,2014,zen,10100.0,36385,Professionnel,9232,False
83,2014,zen,10400.0,20359,Professionnel,9232,False
103,2014,zen,10490.0,20205,Professionnel,9232,False
100,2014,zen,10900.0,29306,Professionnel,9232,False
47,2014,zen,10990.0,8184,Professionnel,9232,False
43,2015,NaN,9000.0,11900,Particulier,NaN,NaN
99,2015,NaN,10500.0,65000,Particulier,NaN,NaN
62,2015,intens,10450.0,20000,Particulier,13462,True
41,2015,intens,10700.0,40095,Professionnel,13462,True
18,2015,intens,10880.0,21120,Professionnel,13462,True
11,2015,intens,10980.0,9474,Professionnel,13462,True
96,2015,intens,10990.0,6000,Particulier,13462,True
2,2015,intens,10990.0,15254,Professionnel,13462,True
45,2015,intens,11500.0,10014,Professionnel,13462,True
89,2015,intens,11500.0,16134,Professionnel,13462,True
60,2015,intens,11990.0,19756,Professionnel,13462,True
75,2015,life,9500.0,19438,Professionnel,12713,True
39,2015,life,9900.0,17940,Professionnel,12713,True
8,2015,life,10300.0,11480,Professionnel,12713,True
7,2015,life,10690.0,7248,Professionnel,12713,True
21,2015,life,10890.0,7079,Professionnel,12713,True
40,2015,zen,11590.0,3100,Professionnel,12788,True
94,2015,zen,11700.0,19157,Professionnel,12788,True
65,2016,intens,12990.0,6130,Professionnel,14500,True
88,2016,intens,14000.0,10000,Professionnel,14500,True
105,2016,intens,14100.0,15000,Professionnel,14500,True
9,2016,life,8900.0,5700,Particulier,13200,True
13,2016,life,10480.0,9087,Professionnel,13200,True
14,2016,life,10890.0,2000,Professionnel,13200,True
36,2016,life,10890.0,6667,Professionnel,13200,True
104,2016,life,13990.0,1410,Professionnel,13200,False
69,2016,zen,10390.0,100,Professionnel,13144,True
71,2016,zen,11390.0,100,Professionnel,13144,True
91,2016,zen,11390.0,100,Professionnel,13144,True
70,2016,zen,11690.0,100,Professionnel,13144,True
77,2016,zen,11690.0,100,Professionnel,13144,True
102,2016,zen,11690.0,100,Professionnel,13144,True
84,2016,zen,11990.0,5975,Professionnel,13144,True
85,2016,zen,11990.0,5975,Professionnel,13144,True
101,2016,zen,12999.0,6400,Professionnel,13144,True
61,2016,zen,13900.0,100,Professionnel,13144,False
66,2016,zen,13900.0,100,Professionnel,13144,False
74,2017,NaN,15000.0,17800,Particulier,NaN,NaN
1,2017,NaN,15900.0,20000,Particulier,NaN,NaN
0,2017,intens,16800.0,4000,Particulier,16303,False
49,2017,intens,17490.0,1,Professionnel,16303,False
53,2017,intens,17490.0,1,Professionnel,16303,False
46,2017,intens,17790.0,1,Professionnel,16303,False
48,2017,intens,17790.0,1,Professionnel,16303,False
50,2017,intens,17790.0,1,Professionnel,16303,False
51,2017,intens,17790.0,1,Professionnel,16303,False
52,2017,intens,17790.0,1,Professionnel,16303,False
54,2017,intens,17790.0,1,Professionnel,16303,False
55,2017,intens,17790.0,1,Professionnel,16303,False
57,2017,intens,17790.0,1,Professionnel,16303,False
58,2017,intens,17790.0,1,Professionnel,16303,False
59,2017,intens,17790.0,1,Professionnel,16303,False
6,2017,life,13990.0,240,Professionnel,12329,False
37,2017,zen,16390.0,500,Professionnel,13847,False
97,2017,zen,16480.0,1,Professionnel,13847,False
67,2017,zen,16800.0,7400,Particulier,13847,False
31,2017,zen,18500.0,6500,Professionnel,13847,False
