,Annee,Version,Prix,Kilometrage,Vendeur,argus,comparateur
45,2013,intens,7500.0,76000,Particulier,10270,True
10,2013,intens,8290.0,41370,Professionnel,10270,True
4,2013,intens,8990.0,13976,Professionnel,10270,True
14,2013,intens,9990.0,36812,Professionnel,10270,True
33,2013,life,8900.0,60990,Professionnel,8356,False
43,2013,zen,7500.0,41535,Professionnel,10376,True
46,2013,zen,7900.0,57314,Professionnel,10376,True
16,2014,intens,8990.0,36556,Professionnel,10629,True
18,2014,intens,9590.0,31456,Professionnel,10629,True
23,2014,intens,9690.0,14000,Professionnel,10629,True
34,2014,intens,9900.0,28600,Professionnel,10629,True
6,2014,intens,9990.0,31200,Professionnel,10629,True
35,2014,intens,11490.0,9222,Professionnel,10629,False
17,2014,life,8880.0,24890,Professionnel,11584,True
11,2014,life,9390.0,13906,Professionnel,11584,True
36,2014,life,9490.0,25333,Professionnel,11584,True
8,2014,life,9490.0,30219,Professionnel,11584,True
31,2014,life,9800.0,37413,Professionnel,11584,True
41,2014,zen,8900.0,51657,Professionnel,9232,True
15,2014,zen,8990.0,47822,Professionnel,9232,True
32,2014,zen,9290.0,23286,Professionnel,9232,False
40,2014,zen,9390.0,27158,Professionnel,9232,False
12,2015,intens,9990.0,41642,Professionnel,13462,True
28,2015,intens,10000.0,30000,Professionnel,13462,True
21,2015,intens,10490.0,16468,Professionnel,13462,True
39,2015,intens,11590.0,16133,Professionnel,13462,True
22,2015,intens,11700.0,14546,Professionnel,13462,True
19,2015,intens,11990.0,8109,Professionnel,13462,True
5,2015,life,9990.0,18768,Professionnel,12713,True
13,2015,life,10490.0,14351,Professionnel,12713,True
38,2015,life,10700.0,820,Professionnel,12713,True
20,2015,zen,11700.0,7868,Professionnel,12788,True
29,2015,zen,11700.0,11480,Professionnel,12788,True
24,2015,zen,11700.0,17558,Professionnel,12788,True
9,2016,intens,10690.0,11457,Professionnel,14500,True
30,2016,intens,10900.0,8800,Particulier,14500,True
26,2016,intens,12790.0,13731,Professionnel,14500,True
2,2016,intens,12900.0,9000,Professionnel,14500,True
25,2016,life,9490.0,9446,Professionnel,13200,True
3,2016,life,10900.0,7456,Professionnel,13200,True
37,2016,life,10990.0,7911,Professionnel,13200,True
42,2016,life,10990.0,7911,Professionnel,13200,True
7,2016,life,11390.0,8184,Professionnel,13200,True
44,2016,life,11999.0,5500,Professionnel,13200,True
27,2016,life,12900.0,4500,Professionnel,13200,True
1,2016,zen,14000.0,7609,Particulier,13144,False
0,2017,intens,15500.0,12000,Particulier,16303,True
